 lag     autocorrelation
  0.      1.00
  1.     -0.31
  2.     -0.74
  3.      0.77
  4.      0.21
  5.     -0.90
  6.      0.38
  7.      0.63
  8.     -0.77
  9.     -0.12
 10.      0.82
 11.     -0.40
 12.     -0.55
 13.      0.73
 14.      0.07
 15.     -0.76
 16.      0.40
 17.      0.48
 18.     -0.70
 19.     -0.03
 20.      0.70
 21.     -0.41
 22.     -0.43
 23.      0.67
 24.      0.00
 25.     -0.66
 26.      0.42
 27.      0.39
 28.     -0.65
 29.      0.03
 30.      0.63
 31.     -0.42
 32.     -0.36
 33.      0.64
 34.     -0.05
 35.     -0.60
 36.      0.43
 37.      0.32
 38.     -0.64
 39.      0.08
 40.      0.58
 41.     -0.45
 42.     -0.28
 43.      0.62
 44.     -0.10
 45.     -0.55
 46.      0.45
 47.      0.25
 48.     -0.61
 49.      0.14
